blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,Address,latitude,longitude
10B,BOON TIONG RD,30,2014,Y,N,N,Y,N,N,BM,160,0,13,28,84,0,0,0,35,0,0,0,0,10B BOON TIONG RD,1.286336847,103.8292048
10B,LOR 7 TOA PAYOH,25,1997,Y,N,N,N,N,N,TP,96,0,0,0,68,28,0,0,0,0,0,0,0,10B LOR 7 TOA PAYOH,1.337161364,103.8583536
10C,BENDEMEER RD,40,2016,Y,N,N,N,N,N,KWN,220,0,0,71,149,0,0,0,0,0,0,0,0,10C BENDEMEER RD,1.315842362,103.8606445
10C,BEDOK STH AVE 2,2,1994,Y,N,N,Y,N,N,BD,2,0,0,0,0,0,2,0,0,0,0,0,0,10C BEDOK STH AVE 2,1.322094236,103.9362236
10C,LOR 7 TOA PAYOH,1,1997,N,N,N,N,N,Y,TP,0,0,0,0,0,0,0,0,0,0,0,0,0,10C LOR 7 TOA PAYOH,1.33691013,103.8580493
10D,BEDOK STH AVE 2,23,1994,Y,N,N,N,N,N,BD,84,0,0,0,0,0,84,0,0,0,0,0,0,10D BEDOK STH AVE 2,1.321770859,103.9363266
10E,BEDOK STH AVE 2,21,1992,Y,N,N,N,N,N,BD,81,0,0,0,0,0,81,0,0,0,0,0,0,10E BEDOK STH AVE 2,1.321620093,103.937041
10F,BEDOK STH AVE 2,24,1992,Y,N,N,N,N,N,BD,67,0,0,0,0,0,67,0,0,0,0,0,0,10F BEDOK STH AVE 2,1.322217735,103.9370013
100,ALJUNIED CRES,12,1977,Y,N,N,Y,N,N,GL,198,0,0,0,0,0,0,0,0,198,0,0,0,100 ALJUNIED CRES,1.320959012,103.8841294
100,BEDOK NTH AVE 4,14,1978,Y,N,N,N,N,N,BD,206,0,0,178,26,1,1,0,0,0,0,0,0,100 BEDOK NTH AVE 4,1.334355934,103.9390327
100,C'WEALTH CRES,10,1964,Y,N,N,N,N,N,QT,75,0,9,61,5,0,0,0,0,0,0,0,0,100 C'WEALTH CRES,1.307705276,103.8012725
100,LOR 1 TOA PAYOH,16,1968,Y,N,N,N,N,N,TP,192,0,0,192,0,0,0,0,0,0,0,0,0,100 LOR 1 TOA PAYOH,1.339564005,103.8485857
100,WHAMPOA DR,25,1973,Y,N,N,N,N,N,KWN,96,0,0,0,96,0,0,0,0,0,0,0,0,100 WHAMPOA DR,1.320779477,103.8543487
101,AH HOOD RD,25,1981,Y,N,N,N,N,N,KWN,96,0,0,0,0,96,0,0,0,0,0,0,0,101 AH HOOD RD,1.32739679,103.844481
101,ALJUNIED CRES,12,1977,Y,Y,N,N,N,N,GL,152,0,0,126,22,1,1,0,0,0,0,2,0,101 ALJUNIED CRES,1.320922753,103.883352
101,ANG MO KIO AVE 3,12,1977,Y,N,N,N,N,N,AMK,88,0,0,0,12,76,0,0,0,0,0,0,0,101 ANG MO KIO AVE 3,1.370261584,103.8394679
101,BEDOK RESERVOIR RD,12,1985,Y,N,N,N,N,N,BD,110,0,0,0,16,94,0,0,0,0,0,0,0,101 BEDOK RESERVOIR RD,1.328449133,103.9099374
101,BEDOK NTH AVE 4,13,1977,Y,N,N,Y,N,N,BD,168,0,35,0,0,0,0,0,0,0,133,0,0,101 BEDOK NTH AVE 4,1.334484667,103.9379247
101,BIDADARI PK DR,2,2019,N,N,N,Y,Y,Y,TP,0,0,0,0,0,0,0,0,0,0,0,0,0,101 BIDADARI PK DR,1.336236716,103.8712876
101,BISHAN ST 12,25,1986,Y,N,N,N,N,N,BH,92,0,0,0,0,84,8,0,0,0,0,0,0,101 BISHAN ST 12,1.344859158,103.8484008
101,BT PURMEI RD,11,1982,Y,N,N,N,N,N,BM,140,0,0,89,50,0,0,0,0,0,0,1,0,101 BT PURMEI RD,1.271462566,103.8256835
101,BT BATOK WEST AVE 6,13,1984,Y,N,N,N,N,N,BB,96,0,0,2,46,48,0,0,0,0,0,0,0,101 BT BATOK WEST AVE 6,1.346706361,103.7469207
101,C'WEALTH CRES,10,1964,Y,N,N,N,N,N,QT,76,0,10,62,4,0,0,0,0,0,0,0,0,101 C'WEALTH CRES,1.308051592,103.8008428
101,CANBERRA ST,1,2019,N,N,N,Y,N,N,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,101 CANBERRA ST,1.451399986,103.83086
101,CLEMENTI ST 14,15,1984,Y,N,N,N,N,N,CL,112,0,0,0,18,94,0,0,0,0,0,0,0,101 CLEMENTI ST 14,1.322089368,103.7689334
101,GANGSA RD,13,1986,Y,N,N,N,N,N,BP,60,0,0,0,0,0,60,0,0,0,0,0,0,101 GANGSA RD,1.379164316,103.7674393
101,HENDERSON CRES,12,1967,Y,N,N,N,N,N,BM,96,0,0,0,96,0,0,0,0,0,0,0,0,101 HENDERSON CRES,1.290717998,103.8216252
101,HOUGANG AVE 1,9,1983,Y,N,N,Y,N,N,HG,108,0,0,0,108,0,0,0,0,0,0,0,0,101 HOUGANG AVE 1,1.354937478,103.8913606
101,JLN RAJAH,17,1980,Y,N,N,Y,N,N,KWN,128,0,0,0,128,0,0,0,0,0,0,0,0,101 JLN RAJAH,1.328714784,103.8505453
101,JURONG EAST ST 13,16,1982,Y,N,N,Y,N,N,JE,238,0,0,196,40,2,0,0,0,0,0,0,0,101 JURONG EAST ST 13,1.337011008,103.7387873
101,LENGKONG TIGA,4,1988,Y,N,N,N,N,N,BD,10,0,0,0,0,0,10,0,0,0,0,0,0,101 LENGKONG TIGA,1.325159834,103.9108888
101,PASIR RIS ST 12,13,1988,Y,N,N,N,N,N,PRC,96,0,0,0,0,0,96,0,0,0,0,0,0,101 PASIR RIS ST 12,1.367050215,103.9581819
101,POTONG PASIR AVE 1,16,1984,Y,N,N,N,N,N,TP,120,0,0,120,0,0,0,0,0,0,0,0,0,101 POTONG PASIR AVE 1,1.333157101,103.8683804
101,PUNGGOL FIELD,4,2001,N,N,N,N,Y,N,PG,0,0,0,0,0,0,0,0,0,0,0,0,0,101 PUNGGOL FIELD,1.398481661,103.9058081
101,RIVERVALE WALK,17,1998,Y,N,N,Y,N,N,SK,131,0,0,0,56,75,0,0,0,0,0,0,0,101 RIVERVALE WALK,1.382764289,103.899272
101,SERANGOON NTH AVE 1,13,1984,Y,N,N,N,N,N,SGN,144,0,0,0,144,0,0,0,0,0,0,0,0,101 SERANGOON NTH AVE 1,1.37103632,103.8703609
101,SIMEI ST 1,11,1988,Y,N,N,Y,N,N,TAP,140,0,0,0,88,52,0,0,0,0,0,0,0,101 SIMEI ST 1,1.340849911,103.9514337
101,SPOTTISWOODE PK RD,20,1973,Y,N,N,N,N,N,BM,76,0,0,0,76,0,0,0,0,0,0,0,0,101 SPOTTISWOODE PK RD,1.275241413,103.8360458
101,TAMPINES ST 11,11,1981,Y,N,N,Y,N,N,TAP,120,0,0,80,40,0,0,0,0,0,0,0,0,101 TAMPINES ST 11,1.347398708,103.9452924
101,TECK WHYE LANE,13,1988,Y,N,N,N,N,N,CCK,66,0,0,0,0,0,66,0,0,0,0,0,0,101 TECK WHYE LANE,1.377889646,103.7542399
101,TOWNER RD,4,1982,Y,Y,N,N,N,N,KWN,44,0,0,44,0,0,0,0,0,0,0,0,0,101 TOWNER RD,1.31942539,103.8610875
101,WHAMPOA DR,25,1973,Y,Y,N,N,N,N,KWN,96,0,0,0,96,0,0,0,0,0,0,0,0,101 WHAMPOA DR,1.320417102,103.8538139
101,WOODLANDS ST 13,10,1984,Y,N,N,Y,N,N,WL,146,0,0,89,55,2,0,0,0,0,0,0,0,101 WOODLANDS ST 13,1.435982685,103.7819327
101,YISHUN AVE 5,4,1977,Y,Y,N,N,N,N,YS,107,0,0,94,12,1,0,0,0,0,0,0,0,101 YISHUN AVE 5,1.430535754,103.8276677
101A,BIDADARI PK DR,16,2020,Y,N,N,N,N,N,TP,295,0,86,91,118,0,0,0,0,0,0,0,0,101A BIDADARI PK DR,1.336854622,103.8709963
101A,CANBERRA ST,15,2019,Y,N,N,N,N,N,SB,164,0,0,0,84,80,0,0,0,0,0,0,0,101A CANBERRA ST,1.451738928,103.8304541
101A,LOR 2 TOA PAYOH,17,1992,Y,N,N,N,N,N,TP,64,0,0,0,0,0,64,0,0,0,0,0,0,101A LOR 2 TOA PAYOH,1.339741267,103.8472642
101A,PUNGGOL FIELD,16,2001,Y,N,N,N,N,N,PG,82,0,0,0,26,56,0,0,0,0,0,0,0,101A PUNGGOL FIELD,1.397946168,103.9059451
101A,YISHUN AVE 5,1,1984,N,Y,N,N,N,N,YS,0,0,0,0,0,0,0,0,0,0,0,0,0,101A YISHUN AVE 5,1.43113229,103.8283671
101B,CANBERRA ST,16,2019,Y,N,N,Y,N,N,SB,240,0,150,30,60,0,0,0,0,0,0,0,0,101B CANBERRA ST,1.451663104,103.8311749
101B,LOR 2 TOA PAYOH,13,1992,Y,N,N,N,N,N,TP,48,0,0,0,0,0,48,0,0,0,0,0,0,101B LOR 2 TOA PAYOH,1.339598845,103.8476054
101B,PUNGGOL FIELD,17,2001,Y,N,N,Y,N,N,PG,92,0,0,0,0,92,0,0,0,0,0,0,0,101B PUNGGOL FIELD,1.397847151,103.9064361
101B,YISHUN AVE 5,1,1984,N,Y,N,N,N,N,YS,0,0,0,0,0,0,0,0,0,0,0,0,0,101B YISHUN AVE 5,1.431391617,103.8282301
101C,LOR 2 TOA PAYOH,4,1992,N,N,N,N,Y,N,TP,0,0,0,0,0,0,0,0,0,0,0,0,0,101C LOR 2 TOA PAYOH,1.339260187,103.8470638
101C,PUNGGOL FIELD,17,2001,Y,Y,N,Y,N,N,PG,86,0,0,0,0,86,0,0,0,0,0,0,0,101C PUNGGOL FIELD,1.398090458,103.9065693
101C,YISHUN AVE 5,1,1984,N,Y,N,N,N,N,YS,0,0,0,0,0,0,0,0,0,0,0,0,0,101C YISHUN AVE 5,1.431532551,103.8279876
101D,PUNGGOL FIELD,17,2001,Y,N,N,N,N,N,PG,85,0,0,0,28,57,0,0,0,0,0,0,0,101D PUNGGOL FIELD,1.398484785,103.9061439
102,ALJUNIED CRES,12,1977,Y,N,N,Y,N,N,GL,150,0,0,124,22,3,1,0,0,0,0,0,0,102 ALJUNIED CRES,1.32043903,103.8824204
102,ANG MO KIO AVE 3,12,1977,Y,N,N,Y,N,N,AMK,88,0,0,0,66,22,0,0,0,0,0,0,0,102 ANG MO KIO AVE 3,1.370650092,103.8394103
102,BEDOK RESERVOIR RD,4,1985,Y,N,N,N,N,N,BD,24,0,0,16,8,0,0,0,0,0,0,0,0,102 BEDOK RESERVOIR RD,1.328491877,103.9092652
102,BEDOK NTH AVE 4,14,1976,Y,N,N,N,N,N,BD,149,0,0,116,26,2,5,0,0,0,0,0,0,102 BEDOK NTH AVE 4,1.333906548,103.9374584
102,BISHAN ST 12,25,1986,Y,N,N,N,N,N,BH,92,0,0,0,0,84,8,0,0,0,0,0,0,102 BISHAN ST 12,1.345143123,103.8479908
102,BT PURMEI RD,10,1983,Y,N,N,Y,N,N,BM,147,0,0,93,54,0,0,0,0,0,0,0,0,102 BT PURMEI RD,1.271908423,103.8266717
102,BT BATOK WEST AVE 6,13,1984,Y,N,N,Y,N,N,BB,96,0,0,2,46,48,0,0,0,0,0,0,0,102 BT BATOK WEST AVE 6,1.347458339,103.7474733
102,C'WEALTH CRES,10,1964,Y,N,N,N,N,N,QT,95,0,10,80,5,0,0,0,0,0,0,0,0,102 C'WEALTH CRES,1.307824649,103.8006298
102,CANBERRA ST,6,2019,N,N,N,N,Y,N,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,102 CANBERRA ST,1.451834491,103.8321067
102,CLEMENTI ST 14,4,1984,Y,N,N,N,N,N,CL,8,0,0,0,0,0,8,0,0,0,0,0,0,102 CLEMENTI ST 14,1.322285572,103.7692019
102,DEPOT RD,1,2017,N,N,N,N,N,Y,BM,0,0,0,0,0,0,0,0,0,0,0,0,0,102 DEPOT RD,1.280337007,103.8135102
102,GANGSA RD,10,1986,Y,N,N,N,N,N,BP,90,0,0,54,36,0,0,0,0,0,0,0,0,102 GANGSA RD,1.379107628,103.7681538
102,HENDERSON CRES,14,1967,Y,N,N,N,N,N,BM,140,0,0,0,140,0,0,0,0,0,0,0,0,102 HENDERSON CRES,1.290366187,103.8215771
102,HOUGANG AVE 1,13,1983,Y,Y,N,N,N,N,HG,90,0,0,19,71,0,0,0,0,0,0,0,0,102 HOUGANG AVE 1,1.354964463,103.8908551
102,JLN RAJAH,12,1980,Y,Y,N,N,N,N,KWN,198,0,0,0,198,0,0,0,0,0,0,0,0,102 JLN RAJAH,1.328223064,103.8515198
102,JLN DUSUN,25,1981,Y,N,N,N,N,N,KWN,96,0,0,0,0,96,0,0,0,0,0,0,0,102 JLN DUSUN,1.327868743,103.8442096
