name,latitude,longitude,type
ACB,1.3010632720874935,103.85411804993092,HDB Carpark
ACM,1.3210042901059578,103.88506094761526,HDB Carpark
AM14,1.368741094555009,103.84030110265232,HDB Carpark
AM16,1.370349801213609,103.83571828515709,HDB Carpark
AM18,1.36554001278626,103.84461939021944,HDB Carpark
AM19,1.3688861979339515,103.83453102382236,HDB Carpark
AM20,1.3646977329371155,103.84608858611789,HDB Carpark
AM22,1.3645882914751233,103.84765302635256,HDB Carpark
AM32,1.3705325244610684,103.8343768155435,HDB Carpark
AM43,1.3686107186719911,103.85730354666772,HDB Carpark
AM46,1.3721783233233982,103.85339638441636,HDB Carpark
AM51,1.3699150017188502,103.84669851649709,HDB Carpark
AM64,1.371457020294688,103.85309824605748,HDB Carpark
AM79,1.3723282292064205,103.85132794564863,HDB Carpark
AM80,1.370646990171555,103.84186149048293,HDB Carpark
AM81,1.3716392420558627,103.84194781252432,HDB Carpark
AM96,1.3640741492788184,103.85094037122892,HDB Carpark
AR1M,1.302848684020821,103.7836667743235,HDB Carpark
AR2M,1.3047388928304116,103.78167448932494,HDB Carpark
AR5M,1.3073435265931932,103.78446333008444,HDB Carpark
AR7M,1.3047713772680514,103.78519200383909,HDB Carpark
A23,1.3673354664536108,103.84891334011712,HDB Carpark
A53,1.3708650227001122,103.84687730858263,HDB Carpark
A76,1.3779771118916977,103.83883480497552,HDB Carpark
A94,1.371859826883313,103.83831596140142,HDB Carpark
A95,1.367518628007775,103.84780380928078,HDB Carpark
BA1,1.3336954080006598,103.8708269708272,HDB Carpark
BA10,1.3430292439125433,103.8728672595264,HDB Carpark
BA2,1.3369045733012814,103.87325519193998,HDB Carpark
BA3,1.3362715925420516,103.87132184474318,HDB Carpark
BA4,1.3352592556272456,103.87294849581734,HDB Carpark
BA5,1.3343396542004164,103.8726349098332,HDB Carpark
BA6,1.3402534868866105,103.87218551400788,HDB Carpark
BA7,1.3418207211438409,103.87213669031202,HDB Carpark
BA8,1.341761741787751,103.87147202648816,HDB Carpark
BA9,1.343128345058616,103.87591618487708,HDB Carpark
BBB,1.2965800277256123,103.85366320640064,HDB Carpark
BBM1,1.3464366536863823,103.74538227425052,HDB Carpark
BBM2,1.3508670707092765,103.74988224837884,HDB Carpark
BBM3,1.3445062832256491,103.75991777083962,HDB Carpark
BBM4,1.3455506982843084,103.7601789637918,HDB Carpark
BBM5,1.343242885077027,103.7579336115242,HDB Carpark
BBM6,1.3428596521147576,103.75505234518016,HDB Carpark
BBM7,1.3473553282589248,103.74369552196028,HDB Carpark
BBM8,1.3499692848447975,103.74851052070392,HDB Carpark
BBM9,1.3658306352822904,103.75177182867174,HDB Carpark
BE13,1.3448855409177085,103.85152763920904,HDB Carpark
BE14,1.3470591230008568,103.85543169019654,HDB Carpark
BE15,1.3451627584912207,103.85483824803856,HDB Carpark
BE20,1.3488915035247568,103.84866481348334,HDB Carpark
BE23,1.3500959071206378,103.8497629135692,HDB Carpark
BE25,1.3551543675245743,103.8483089249273,HDB Carpark
BE27,1.3566562135466171,103.84863114624726,HDB Carpark
BE3R,1.3631857448141893,103.8354758112253,HDB Carpark
BE30,1.3574639721486654,103.84644532993391,HDB Carpark
BE32,1.3591710155830472,103.84667247515102,HDB Carpark
BE34,1.3609610362378006,103.84362160812952,HDB Carpark
BE37,1.3580079412271229,103.84442083770412,HDB Carpark
BE39,1.359196401814306,103.84197133762822,HDB Carpark
BE40,1.3573111776423046,103.84264015136309,HDB Carpark
BE42,1.3555617806228988,103.84454814694634,HDB Carpark
BE44,1.3578308220309523,103.83163014387952,HDB Carpark
BE45,1.3563083436627197,103.8436737995863,HDB Carpark
BJ15,1.377494481750497,103.77378188713315,HDB Carpark
BJ16,1.377506516571878,103.7736203108756,HDB Carpark
BJ17,1.381250232562735,103.76894572813386,HDB Carpark
BJ25,1.384899130104685,103.77172518427945,HDB Carpark
BJ26,1.383796880919978,103.7727051699552,HDB Carpark
BJ27,1.3826405383885616,103.77095043939036,HDB Carpark
BJ28,1.378924834192692,103.76554600407276,HDB Carpark
BJ29,1.3849380921344514,103.76768309161008,HDB Carpark
BJ30,1.3870292824106256,103.7689793290772,HDB Carpark
BJ31,1.3879388940244677,103.76747797804047,HDB Carpark
BJ32,1.3865639857228236,103.76693564904,HDB Carpark
BJ33,1.379119502165124,103.7720111271445,HDB Carpark
BJ34,1.3877960606883626,103.76651781167364,HDB Carpark
BJ35,1.387041489540753,103.76591367064592,HDB Carpark
BJ36,1.386270399087044,103.76533871621312,HDB Carpark
BJ37,1.3854321020503484,103.7646848754351,HDB Carpark
BJ38,1.38513669086984,103.76342664649454,HDB Carpark
BJ39,1.3842317977235143,103.76286006929962,HDB Carpark
BJ40,1.3828257877526795,103.76290164919328,HDB Carpark
