name,latitude,longitude,type
101 CLEMENTI ST 14,1.322089368,103.7689334,HDB Property
101 GANGSA RD,1.379164316,103.7674393,HDB Property
101 HENDERSON CRES,1.290717998,103.8216252,HDB Property
101 HOUGANG AVE 1,1.354937478,103.8913606,HDB Property
101 JLN RAJAH,1.328714784,103.8505453,HDB Property
101 JURONG EAST ST 13,1.337011008,103.7387873,HDB Property
101 LENGKONG TIGA,1.325159834,103.9108888,HDB Property
101 PASIR RIS ST 12,1.367050215,103.9581819,HDB Property
101 POTONG PASIR AVE 1,1.333157101,103.8683804,HDB Property
101 PUNGGOL FIELD,1.398481661,103.9058081,HDB Property
101 RIVERVALE WALK,1.382764289,103.899272,HDB Property
101 SERANGOON NTH AVE 1,1.37103632,103.8703609,HDB Property
101 SIMEI ST 1,1.340849911,103.9514337,HDB Property
101 SPOTTISWOODE PK RD,1.275241413,103.8360458,HDB Property
101 TAMPINES ST 11,1.347398708,103.9452924,HDB Property
101 TECK WHYE LANE,1.377889646,103.7542399,HDB Property
101 TOWNER RD,1.31942539,103.8610875,HDB Property
101 WHAMPOA DR,1.320417102,103.8538139,HDB Property
101 WOODLANDS ST 13,1.435982685,103.7819327,HDB Property
101 YISHUN AVE 5,1.430535754,103.8276677,HDB Property
101A BIDADARI PK DR,1.336854622,103.8709963,HDB Property
101A CANBERRA ST,1.451738928,103.8304541,HDB Property
101A LOR 2 TOA PAYOH,1.339741267,103.8472642,HDB Property
101A PUNGGOL FIELD,1.397946168,103.9059451,HDB Property
101A YISHUN AVE 5,1.43113229,103.8283671,HDB Property
101B CANBERRA ST,1.451663104,103.8311749,HDB Property
101B LOR 2 TOA PAYOH,1.339598845,103.8476054,HDB Property
101B PUNGGOL FIELD,1.397847151,103.9064361,HDB Property
101B YISHUN AVE 5,1.431391617,103.8282301,HDB Property
101C LOR 2 TOA PAYOH,1.339260187,103.8470638,HDB Property
101C PUNGGOL FIELD,1.398090458,103.9065693,HDB Property
101C YISHUN AVE 5,1.431532551,103.8279876,HDB Property
101D PUNGGOL FIELD,1.398484785,103.9061439,HDB Property
102 ALJUNIED CRES,1.32043903,103.8824204,HDB Property
102 ANG MO KIO AVE 3,1.370650092,103.8394103,HDB Property
102 BEDOK RESERVOIR RD,1.328491877,103.9092652,HDB Property
102 BEDOK NTH AVE 4,1.333906548,103.9374584,HDB Property
102 BISHAN ST 12,1.345143123,103.8479908,HDB Property
102 BT PURMEI RD,1.271908423,103.8266717,HDB Property
102 BT BATOK WEST AVE 6,1.347458339,103.7474733,HDB Property
102 C'WEALTH CRES,1.307824649,103.8006298,HDB Property
102 CANBERRA ST,1.451834491,103.8321067,HDB Property
102 CLEMENTI ST 14,1.322285572,103.7692019,HDB Property
102 DEPOT RD,1.280337007,103.8135102,HDB Property
102 GANGSA RD,1.379107628,103.7681538,HDB Property
102 HENDERSON CRES,1.290366187,103.8215771,HDB Property
102 HOUGANG AVE 1,1.354964463,103.8908551,HDB Property
102 JLN RAJAH,1.328223064,103.8515198,HDB Property
102 JLN DUSUN,1.327868743,103.8442096,HDB Property
102 JURONG EAST ST 13,1.336096579,103.7382192,HDB Property
